"secnum","order","section","tnc","eng","audio"
21,5,"Tools","seey","knife",
21,6,"Tools","tl'uuł","rope",
21,7,"Tools","Tl'uuł dineltsón'.","The rope is tied tightly.",
21,8,"Tools","ch'in<u>x</u>os","scraper tool, root digger",
21,9,"Tools","Ch'in<u>x</u>os éł tsaath káts'áxo<u>ł</u>íi'","We're digging roots with a scraper tool.",
21,10,"Tools","tthéł","awl",
21,11,"Tools","Ttthéł éł wutl'ǔul' ghandú' xúhxąą.","He making holes with an awl.",
21,12,"Tools","ndeł","wedge",
21,13,"Tools","míił","caribou snare",
21,14,"Tools","gaał","snare",
21,15,"Tools","xok","rabbit snare",
21,16,"Tools","Maa <u>x</u>ǒg' ahtseyh.","Build a snare for it.",
22,1,"Animals","nûun","animals",
22,2,"Animals","Nûun ndlą́ą.","There are lots of animals.",
22,3,"Animals","wudzih","caribou",
22,4,"Animals","deek'el","bull caribou",
22,5,"Animals","Wudzih nduu <u>sh</u>íi xey tah deltth'íix.","Caribou lives in the forest in winter.",
22,6,"Animals","dendîig","moose",
22,7,"Animals","ninchûun","bull moose",
22,8,"Animals","de<u>sh</u>aaz","cow moose",
22,9,"Animals","detsîig","calf moose",
22,10,"Animals","shos","bear",
22,11,"Animals","shos <u>s</u>ey","black bear",
22,12,"Animals","Shos xey tah etéex.","Bear sleeps all winter.",
22,13,"Animals","ch'íliitthǒgh'","brown bear",
22,14,"Animals","Ch'íliitthǒgh' dį́hteyh.","Brown bear is strong.",
22,15,"Animals","łii","dog",
22,16,"Animals","łiigaay","puppy",
22,17,"Animals","Sh<u>ł</u>ǐig' keyh xdel<u>x</u>os.","My dogs are playing.",
22,18,"Animals","naagêddh","fox",
22,19,"Animals","Naagêddh xun<u>sh</u>ąą.","Fox is clever.",
22,20,"Animals","niidûuy","lynx",
22,21,"Animals","Niidûuy <u>x</u>ǒl' ndéeth.","Lynx has long legs.",
22,22,"Animals","tsá'","beaver",
22,23,"Animals","Tsá' de<u>sh</u>ax k'et etndah <u>sh</u>ę́ę'.","Beaver is always working on his house.",
22,24,"Animals","dzenh","muskrat",
22,25,"Animals","Dzenh tuu <u>sh</u>íi xdeltth'íix.","Muskrats live in the water.",
22,26,"Animals","gah","rabbit",
22,27,"Animals","Gah <u>sh</u>ę́ę' t'êey neljíit.","Rabbits are easily frightened.",
22,28,"Animals","tehts'ųųdz","mink",
22,29,"Animals","Tehts'ųųdz ké' dets'en ké' k'é'éltsįį.","Mink's feet look like duck feet.",
22,30,"Animals","tsûug","marten",
22,31,"Animals","Tsûug nén' k'et deltth'íix.","Martens live on land.",
22,32,"Animals","k'ąąy","marmot",
22,33,"Animals","ntsį́įth","otter",
22,34,"Animals","ts'iit","porcupine",
22,35,"Animals","Ts'iit ch'ǒg' déhkeyh.","Porcupines have sharp quills.",
22,36,"Animals","dlêg","sqirrel",
22,37,"Animals","tthel","mountain squirrel",
22,38,"Animals","tetsêdz","mouse",
23,1,"Fish","łuug","fish",
23,2,"Fish","uljaadh","pike",
23,3,"Fish","seejel","grayling",
23,4,"Fish","łuug delt'el","salmon",
23,5,"Fish","Dihthâad Měnn' <u>sh</u>íi łuug delt'el kől.","There are no salmon in Mansfield Lake.",
23,6,"Fish","tats'aht'ol","sucker fish",
23,7,"Fish","tsaaměey","whitefish",
23,8,"Fish","tl'aas","clam",
24,1,"Birds","tsúugaay","birds",
24,2,"Birds","taatsą́ą'","raven",
24,3,"Birds","taatsą́ą' t'ǒgh'","raven's nest",
24,4,"Birds","jîiz","camprobber",
24,5,"Birds","mehk'ąąy","gull",
24,6,"Birds","deeł","crane",
24,7,"Birds","saxatnę́y","magpie",
24,8,"Birds","ts'egąąg","chickadee",
24,9,"Birds","deyh","spruce grouse",
24,10,"Birds","tsą́ą' ts'uug","ruffed grouse",
24,11,"Birds","ch'ehtêeg","sharp-tailed grouse",
24,12,"Birds","k'étmah","willow ptarmigan",
24,13,"Birds","ddheł k'aal","rock ptarmigan",
24,14,"Birds","goose","xah",
24,15,"Birds","taagos","swan",
24,16,"Birds","me<u>s</u>iin","owl",
24,17,"Birds","ntsiił","flicker",
24,18,"Birds","dets'en","duck (general term)",
24,19,"Birds","tsoth","merganser",
24,20,"Birds","ndel","white-winged scoter",
25,1,"Plants","ne<u>sh</u>eegh","plants",
25,2,"Plants","ts'ôgh","spruce tree",
25,3,"Plants","k'įį","birch",
25,4,"Plants","k'ę́y'","willow",
25,5,"Plants","t'áath","poplar, cottonwood",
25,6,"Plants","k'es","alder",
25,7,"Plants","k'es tsedz","dry willow or alder",
25,8,"Plants","tth'êy","dry spruce branches",
25,9,"Plants","ch'et'ą̌ą'","leaves",
25,10,"Plants","ch'elahdzol","spruce cone",
25,11,"Plants","éł","spruce bough",
25,12,"Plants","ch'elaats'eyh","spruce bark",
25,13,"Plants","tl'ox","grass",
25,14,"Plants","dlaat","moss, algae",
25,15,"Plants","łuudh","buckbrush",
25,16,"Plants","dahłiigaay","pussy willow",
25,17,"Plants","gųų <u>x</u>ǒz'","stinging nettles",
25,18,"Plants","nihts'iil","watermilfoil, 'muskrat food'",
25,19,"Plants","ch'enę̌y'","mushroom",
26,1,"Drinking Tea (dialogue) ","Aan! Didhindah.","Come in! Sit down.",
26,2,"Drinking Tea (dialogue) ","Tuu nee<u>th</u>el ghushnaa'a eynin<u>th</u>en?","Do you want a hot beverage?",
26,3,"Drinking Tea (dialogue) ","Ąą, ldîil ghushnaa'a eynihthen.","Yes, I'd like some tea.",
26,4,"Drinking Tea (dialogue) ","Du k'a. Ldîil ghoktseey.","Okay. I'll make tea.",
26,5,"Drinking Tea (dialogue) ","Ndée ts'enh ghinhaał?","Where are you coming from.",
26,6,"Drinking Tea (dialogue) ","Jêg nektseey ghihhaał.","I'm coming from picking berries.",
26,7,"Drinking Tea (dialogue) ","Ndée jêg nedhį́htsįį?","Where did you pick berries?",
26,8,"Drinking Tea (dialogue) ","Yandóg teyh eekeh.","Up there on the side of the hill.",
26,9,"Drinking Tea (dialogue) ","Ishndaa <u>sh</u>ax ts'enh ghihhaał.","I'm coming from work.",
26,10,"Drinking Tea (dialogue) ","Ndée ítndaa?","Where do you work?",
26,11,"Drinking Tea (dialogue) ","Xaxdeldiix <u>sh</u>ax ch'e ishndaay. Xach'unekt'en ihłęę.","I work at the school. I'm a teacher.",
26,12,"Drinking Tea (dialogue) ","Łeets eet'eey eynin<u>th</u>en?","Do you want a biscuit?",
27,1,"Colors","delgaay","white",
27,2,"Colors","Xey tah gah delgayh.","Rabbits are white in the winter.",
27,3,"Colors","dat-<u>s</u>ęy","black",
27,4,"Colors","Shin<u>ł</u>á' t'ées éł dát-<u>s</u>ęyh.","My hands are black with charcoal.",
27,5,"Colors","delt'el","red",
27,6,"Colors","Ntl'ét délt'eł.","Cranberries are red.",
27,7,"Colors","deldlêedz","blue-green",
27,8,"Colors","Sheen tah tl'ox deldéets.","In summer the grass is green .",
27,9,"Colors","deltthox","yellow-brown",
27,10,"Colors","Ch'íliitthǒgh' déltthox.","Grizzly bears are brown.",
27,11,"Colors","delmaay","grey",
27,12,"Colors","Nox<u>ł</u>uu tah <u>sh</u>aa delmah <u>sh</u>ę́ę'.","In the fall the sky is always grey.",
28,1,"Camping","K'ahdâandé' tnéghíhhaał.","Tomorrow I'm going camping.",
28,2,"Camping","Ndée tnéghínhaał?","Where are you going camping?",
28,3,"Camping","Yandóg menh mâagh tah.","Up there by the edge of the lake.",
28,4,"Camping","Nen <u>sh</u>ę́ę'?","Alone?",
28,5,"Camping","K'á shih <u>sh</u>ę́ę'. Shtá' éł tíhhaał.","No. I'm going with my father.",
28,6,"Camping","Dzenh ukah éeł nitsaa<u>ł</u>eeyh.","We're going to set traps for muskrats.",
28,7,"Camping","Xuh dzenh ndlâan xun<u>sh</u>ęę?","Are there lots of muskrats there?",
28,8,"Camping","Xú' ch'e xeney.","That's what they say.",
28,9,"Camping","Nts'é tínhaał?","How will you travel?",
28,10,"Camping","Shtá' ts'ěy' <u>sh</u>íi tsaadeł.","We'll go in my father's boat.",
28,11,"Camping","Ndée dégháltth'ih?","Where will you stay?",
28,12,"Camping","Taa<u>th</u>éth ts'áa<u>x</u>eeł.","We're bringing a tent.",
28,13,"Camping","Teddh tah xnéek'etth t'o t'êey ?","Even though it's cold at night?",
28,14,"Camping","Xnéek'etthh dé', kón' déghek-k'áał.","If it's cold, I'll make a fire.",
28,15,"Camping","Ndée dé' natindaał ?","When are you coming back?",
28,16,"Camping","K'ahdâandé' súle'.","Probably tomorrow.",
